nacional nacional AQ0CS00 0.966867 01038102-a:0.000219276/01567862-a:0.000213046/01105840-a:0.000185765/02988060-a:0.000145267/02988402-a:0.000131675/01861776-a:0.000123986/02988281-a:0.00012342/01038332-a:0.000121781/01036754-a:0.000118221
ou ou CC 1 -
interestadual interestadual AQ0CS00 1 -
, , Fc 1 -
com com SP 1 -
advogados advogado NCMP000 0.556849 10249950-n:0.000699966/09774783-n:0.000319906/09775663-n:0.000280354/10623175-n:0.000261668/09840963-n:0.000241512
que que PR0CN00 0.584265 -
estejam estar VMSP3P0 0.97619 02604760-v:0.000364882/02655135-v:0.000272286/00689344-v:0.000226293/02731024-v:0.000193372/00149583-v:0.000147481/02734338-v:0.00011985/01857392-v:0.000119611/02729963-v:0.000117303/02744820-v:0.000109725/00120796-v:0.00010712
em em SP 1 -
pleno pleno AQ0MS00 0.47047 00522885-a:0.000295915/01083157-a:0.000286304/00515380-a:0.00018208/02300501-a:0.000179209/01211531-a:0.000178193/00106020-a:0.000174561
exercício exercício NCMS000 1 00947128-n:0.000246271/00894552-n:0.000245519/00624738-n:0.000240504/00729919-n:0.000222811/15203120-n:0.00022086
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
profissão profissão NCFS000 1 00582388-n:0.000512894/00606370-n:0.000379503/05074774-n:0.000369406/00583246-n:0.000197666/00609953-n:0.000190436/06685040-n:0.000182491/06732925-n:0.000169728
, , Fc 1 -
vedada vedar VMP00SF 0.97673 00795863-v:0.000498596/01354006-v:0.000314191/01348013-v:0.000275897/01761375-a:0.000268962
a a SP 0.313151 -
inclusão inclusão NCFS000 1 05805475-n:0.000387892/13936304-n:0.000323324/00373130-n:0.000282307/13794034-n:0.000266143
de de SP 1 -
nome nome NCMS000 1 06333653-n:0.000373257/05143300-n:0.000206581/00721660-n:0.000187137/06319293-n:0.00011549/06337307-n:0.000113666/06338908-n:0.000108927/10344443-n:0.000102909/06337693-n:0.000102772/06317862-n:9.72398e-05/06320004-n:9.70262e-05/01139636-n:9.20891e-05/06720964-n:8.9818e-05/14438788-n:8.49519e-05
de de SP 1 -
membro membro NCMS000 1 10307234-n:0.00027333/05526384-n:0.000211905/05559908-n:0.000201327/05560244-n:0.000191142/13810615-n:0.000177363/02737833-n:0.00016998
de de SP 1 -
